CU_NAME,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NO OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
Peer Credit Union average,1329446946,1110340067,104721,284315084.9,14058.2766,150882822.3,926060.0507,60671.98854,878258054.3,974251953,108481331.2,8621.363339,166323861.3,61532.90507,5626.589198,37012.36825,2015,2
Credit union,2226291379,1825338546,157349,482318508,31737,91715601,1645574,92082,1905407648,1298160791,269232256,23736,406434322,93672,17458,236093,2015,1
State Credit Union average,121604980.7,104834728.5,11018,21737191.79,1074.293907,12131214.68,61459.25448,5779.240143,68263246.13,90638485.38,6311589.67,1222.741935,11141328.11,5915.792115,388.2508961,5390.34767,2015,1
Peer Credit Union average,1296271724,1090477112,102507,275742115.9,13583.25041,149130750.5,864516.4599,58781.08838,841189828.5,955916753.3,103913727.6,8385.081833,157758822.4,59702.02782,5465.013093,37498.50573,2015,1
Credit union,2143879678,1749495484,157769,460429827,31185,82514143,2059065,91999,1870218375,1262309811,280552251,23615,396086143,92897,17770,197077,2014,4
State Credit Union average,131551701.7,113259953,12267,25003054.15,1374.157509,13399622,106349.1282,6692.992674,78656403.34,95542465.15,7417894.681,1477.549451,14307027.24,6522.208791,452.9267399,4655.457875,2014,4
Peer Credit Union average,1213406890,1022582462,98449,267697901.9,13129.0491,139968804.1,982456.9624,56367.91817,791574530.9,900105510.5,97676014.64,8284.623568,150597862.5,58142.12766,5163.949264,29031.21113,2014,4
Credit union,2077238893,1633630633,154710,452177797,30689,76611329,2039096,90513,1834317919,1231222931,291568341,23498,387337735,88970,18161,313537,2014,3
State Credit Union average,116367702.3,100039826.9,10970,20535528.27,1165.214815,11877403.85,91636.59259,5838.314815,68797966.23,85822981.8,6325018.033,1368.759259,12167793.2,5818.218519,400,4643.525926,2014,3
Peer Credit Union average,1212569139,1018825926,98344,259773276.9,12726.23203,133116006.3,913350.1846,55813.65359,788612753.6,891747551.3,93301267.47,8270.151961,146515115.6,56911.56046,4952.946078,30091.05065,2014,3
Credit union,2011590757,1635959649,151534,465890898,30185,79976483,1868226,87779,1717224228,1285349849,295864747,23496,378206991,88970,18195,255584,2014,2
State Credit Union average,126113293.8,109308692.7,11674,24010470.56,1286.880282,12510266.27,87163.01761,6230.302817,72545135.27,93663756.24,6383123.32,1424.056338,13049823.07,6174.401408,408.9929577,5076.010563,2014,2
Peer Credit Union average,1188613280,1001439289,95496,248279621.8,12463.01159,130602635.4,852196.5911,54386.95364,755095943.4,871582993.9,89228584.25,7844.089404,141604106.3,55133.0447,4799.938742,35252.49834,2014,2
Credit union,1926651246,1654064724,148000,472748413,29199,81123796,1789553,85155,1619466677,1324822548,284208510,23521,358235789,87426,17620,177776,2014,1
State Credit Union average,113994296.5,99418520.06,10526,20449254.86,1117.794224,11823841.13,74418.51625,5460.916968,64032637.24,85290341.23,5523401.321,1352.797834,11169592.95,5513.494585,367.0469314,4759.306859,2014,1
Peer Credit Union average,1109692499,958091020.7,88466,248016051.2,11448.45528,123954448.9,591506.2293,48142.24228,675847587.5,841021767.8,76340372.09,7801.668293,127482917.3,49949.14797,4257.243902,35121.20813,2014,1
Credit union,1880414011,1627697509,147400,457345982,28723,73414940,2127215,83935,1558435730,1284466007,278244337,23613,346776415,87762,17187,309911,2013,4
State Credit Union average,115668590.7,100637572.8,10972,22433696.48,1156.602941,11024806.63,82569.36397,5759.926471,66340611.3,85793464.79,5580422.849,1419.683824,11542720.46,5737.132353,378.3455882,4646.757353,2013,4
Peer Credit Union average,1121130911,955239620,91986,250656098.7,11536.0384,123480226.6,903971.9199,50449.38731,692950371.5,840546987.4,77802302.39,8529.459098,127851807.1,53281.42237,4298.539232,28894.42905,2013,4
Credit union,1874350702,1621248427,145657,449739099,28616,70670772,2254811,82386,1516195772,1272840017,274487044,23400,343884796,86579,16823,189807,2013,3
State Credit Union average,114311539.6,99233216.96,10708,21257411.82,994.3197026,10142032.9,68962.5316,5392.096654,64045704.28,84786921.14,4945337.695,1269.933086,9590542.431,5570.394052,335.9814126,5031.591078,2013,3
Peer Credit Union average,1149682121,977417926.2,93560,254902635.5,11531.64094,123422984.4,858943.4748,51255.23993,702916833.6,854367350.9,71984414.79,8870.629195,125451932,53962.98993,4122.100671,34777.35906,2013,3
Credit union,1893167828,1669813020,143995,461431836,28732,73565221,2138377,80580,1441724606,1301775908,271713299,23214,343812236,85344,16503,217575,2013,2
State Credit Union average,112146442.5,97922957.06,10460,21681198.25,1085.226415,10605955.4,64725.37358,5330.150943,61286036.62,83742513.14,5047642.668,1378.056604,10597850.25,5430.988679,349.8226415,5575.286792,2013,2
Peer Credit Union average,1137992518,972423575.6,91315,250670286.5,11038.00506,123966178.8,754707.0455,49220.90051,680863017.9,847493911.9,73051739.65,7867.362563,120894309.3,51898.24115,4228.074199,32653.23103,2013,2
Credit union,1902900090,1677045689,141385,460893250,28702,74884466,2375511,79656,1421871165,1258226587,266627795,23013,340583234,82883,16036,251862,2013,1
State Credit Union average,125159203.7,109665865.9,11579,24642416.91,1200.835821,12533049.08,74467.1194,6026.048507,68005276.45,93094187.31,5631199.72,1515.80597,11703496.65,6051.649254,390.5447761,5968.328358,2013,1
Peer Credit Union average,1152141545,987114591,91959,254550650,11035.30179,127470434.6,739632.5661,49055.33442,673761839.1,861421287.4,71327295.86,8295.414356,120097863.2,52001.94127,4210.257749,34947.04405,2013,1
